//	APORTES	HIDRAULICOS	SEMANALES	1909-1911											
//	SE	GRABA	UN	ARCHIVO	DATOS.TXT	CON:	GUARDAR	COMO	----	TEXTO	CON	FORMATO	(DELIMITADO	POR	TABULACIONES)
//	LAS	CRONICAS	DEBEN	ESTAR	COMPLETAS	SI	SE	QUIERE	USAR	PARA	SERIES	HISTORICAS			
ID_ESTIMACION	det														
DURACION_PASO	SEMANA														
CANTIDAD_MAX_PASOS_ANUALES	52														
CANTIDAD_DE_CRONICAS	3														
CRONICA	PASO	APORTE-CLAIRE-DET													
1909	1	3300.168421													
1909	2	3276.539474													
1909	3	3234.496491													
1909	4	3080.039474													
1909	5	3327.122807													
1909	6	3467.123684													
1909	7	3308.722807													
1909	8	3174.892105													
1909	9	3413.357895													
1909	10	3365.100877													
1909	11	3228.628947													
1909	12	3341.837719													
1909	13	3808.839474													
1909	14	4129.310526													
1909	15	5100.154386													
1909	16	5966.828947													
1909	17	6181.520175													
1909	18	6383.542982													
1909	19	6471.812281													
1909	20	6284.551754													
1909	21	6661.599123													
1909	22	6723.842982													
1909	23	6645.807895													
1909	24	7104.836842													
1909	25	7538.279825													
1909	26	7900.680702													
1909	27	7823.992982													
1909	28	7493.152632													
1909	29	7050.460526													
1909	30	6903.426316													
1909	31	6884.203509													
1909	32	6669.701754													
1909	33	6401.301754													
1909	34	6158.769298													
1909	35	6224.875439													
1909	36	6437.914912													
1909	37	6642.373684													
1909	38	7657.279825													
1909	39	8251.730702													
1909	40	8599.425439													
1909	41	8975.587719													
1909	42	8489.190351													
1909	43	7757.640351													
1909	44	7344.914035													
1909	45	6599.870175													
1909	46	6016.507895													
1909	47	5319.04386													
1909	48	4490.464035													
1909	49	4307.349123													
1909	50	4118.489474													
1909	51	3919.599123													
1909	52	3583.57193													
1910	1	3300.168421													
1910	2	3276.539474													
1910	3	3234.496491													
1910	4	3080.039474													
1910	5	3327.122807													
1910	6	3467.123684													
1910	7	3308.722807													
1910	8	3174.892105													
1910	9	3413.357895													
1910	10	3365.100877													
1910	11	3228.628947													
1910	12	3341.837719													
1910	13	3808.839474													
1910	14	4129.310526													
1910	15	5100.154386													
1910	16	5966.828947													
1910	17	6181.520175													
1910	18	6383.542982													
1910	19	6471.812281													
1910	20	6284.551754													
1910	21	6661.599123													
1910	22	6723.842982													
1910	23	6645.807895													
1910	24	7104.836842													
1910	25	7538.279825													
1910	26	7900.680702													
1910	27	7823.992982													
1910	28	7493.152632													
1910	29	7050.460526													
1910	30	6903.426316													
1910	31	6884.203509													
1910	32	6669.701754													
1910	33	6401.301754													
1910	34	6158.769298													
1910	35	6224.875439													
1910	36	6437.914912													
1910	37	6642.373684													
1910	38	7657.279825													
1910	39	8251.730702													
1910	40	8599.425439													
1910	41	8975.587719													
1910	42	8489.190351													
1910	43	7757.640351													
1910	44	7344.914035													
1910	45	6599.870175													
1910	46	6016.507895													
1910	47	5319.04386													
1910	48	4490.464035													
1910	49	4307.349123													
1910	50	4118.489474													
1910	51	3919.599123													
1910	52	3583.57193													
1911	1	3300.168421													
1911	2	3276.539474													
1911	3	3234.496491													
1911	4	3080.039474													
1911	5	3327.122807													
1911	6	3467.123684													
1911	7	3308.722807													
1911	8	3174.892105													
1911	9	3413.357895													
1911	10	3365.100877													
1911	11	3228.628947													
1911	12	3341.837719													
1911	13	3808.839474													
1911	14	4129.310526													
1911	15	5100.154386													
1911	16	5966.828947													
1911	17	6181.520175													
1911	18	6383.542982													
1911	19	6471.812281													
1911	20	6284.551754													
1911	21	6661.599123													
1911	22	6723.842982													
1911	23	6645.807895													
1911	24	7104.836842													
1911	25	7538.279825													
1911	26	7900.680702													
1911	27	7823.992982													
1911	28	7493.152632													
1911	29	7050.460526													
1911	30	6903.426316													
1911	31	6884.203509													
1911	32	6669.701754													
1911	33	6401.301754													
1911	34	6158.769298													
1911	35	6224.875439													
1911	36	6437.914912													
1911	37	6642.373684													
1911	38	7657.279825													
1911	39	8251.730702													
1911	40	8599.425439													
1911	41	8975.587719													
1911	42	8489.190351													
1911	43	7757.640351													
1911	44	7344.914035													
1911	45	6599.870175													
1911	46	6016.507895													
1911	47	5319.04386													
1911	48	4490.464035													
1911	49	4307.349123													
1911	50	4118.489474													
1911	51	3919.599123													
1911	52	3583.57193													
